40709,607650 615475 647275 771545 2781224 2781255 2781563 2791520 2821929 2836394 2861381 2944295 3093642 3165027 3250438 3289207 3491403 3563879 3857236 3966670 4189818 4319538 4357880 4774272 4881379 6612599 9121682 11267168,2012-01-30,2013-07-28,adventure angel angels bird falcon fiction fighting fly flying girl jammvlogs morgan paranormal powers psychic sci-fi science superhero supernatural winged another ashley jamm just moment peregrine wings aislinn blake haverford high school sky superaelita teen tempest battle dodgeball friends romance aelita super vlogs wattpad abilities aura auras control mind power reading spirit spiritual superpowers attack chase disappearance epic fight gun missing scene shooter darkness demon duel evil rescue showdown capture kill killing magic murder escape kidnap kidnapped kidnapper kidnapping superpower telekinesis adult book brainwashed dye dyed fugitive fugitives hair haircut haircuts horror new novel runaways salon series young america aquarium balls cincinnati city hamster inflatable kentucky levee newport states united usa vacation bay island pib put answers atlantis continent fable fairy folk history hy-brasil legend lemuria logan lost tale air black call duty element modern ops training warfare wilde wind airsoft combat dogfight firing glock guns handgun practice shoot shooting cellar chapter hoard secret sixteen stash storage two war world wwii knife makeover style assassin assault avenge broken celsius chi dream revenge scarred scars soul suffer suffering vengeance villain camping concussion illinois indiana love ohio pain rain runaway travel trip boys camp campfire characters death fire flight fox gray hawk hunted hunters owen red red-tail red-tailed run talon arch blackwings blood bloody fun gateway homicide louis missouri monster monsters monument murderer national slaughter west abandoned alley basement bound building captured dump explosion running shockwave squatters trash anecdote armpit astral audio built-in cassette deck eject external fast forward fwd gorillas goshawk mic microphone pause personal play player portable projection record recorder recording rewind shoebox side stop story sweatier system tape than voice walkman car colorado dad dead dollar father highway million ouray road steal theft accident drink energy box caught cell crate jail prison prisoner rejection,The Winged
43429,626681 628402 630807 637774 641596 653461 655425 659037 671984 688140 699583 712441 722604 741526 750589 765859 778134 799296 815075 836084 845529 863459 870956 888195 912082 937022 960328 1005795 1078234 1197878 1223097 2079878 28630167 28632840 29585550 31266696,2011-11-23,2014-05-12,,Black Equation - The Forgotten Ones
4118348,11996206 12492000 13790185 13893125 13917163 41980169,2013-02-08,2014-03-16,,Minecraft
4119762,12000345 13057224 14339792 17249916 18763675 19387196 19525069 19525087 19842191 29732161 30842170 36019925 46367937,2013-02-08,2014-05-13,,The Boy With The Iron Wings
58314,718774 725203 734562 747944 763365 778309 781000 799243 802198 802212 839011 852340 928953 929406 936778 1086883 1107841 1107913 1133225 1155929 1239667 1239677 1279434 1334151 1395503 1399463 1432864 1490121 1490170 1539184 1539186 1593332 1612083 1624651 1624656 1678615 1678618 1678652 1678715 1678724 37951759,2011-06-24,2014-05-09,balmung gods gram mythology norse old ones sigrun valkyrie,Knight Casefiles Book 1: Revelations
65344,763924 767488 769864 806942 818212 833583 858056 907319 918203 955205 980290 990503 1002943 1012286 1045158 1053690 1066080 1126439 1208476 1247349 1260894 1321073 1408887 1529608 1603511 1784887 1983832 2049173 2091310 2109209 2161237 2297135 2341867 2391881 2424140 2483408 2624863 2645590 2673632 2734809 3507166 4319550 7377896 9932142 19906526 24218004 26033409 27702001 45955995,2011-12-18,2014-04-16,Gidget5 assassin drama revenge,Cruel Intentions
68738,785558 788268 790927 801498 813952 829515 837397 841653 847499 859190 868670 876071 890932 900649 906896 921149 939298 952309 969953 997731 1028060 1048931 1080149 1106276 1132010 1159978 1188078 1215904 1216446 1297651 1586626 1634594 1683830 46229084,2012-01-01,2014-04-18,,Awakening to Life
72046,809035 809065 809150 809166 809214 809229 809253 809261 809277 809288 809297 809312 809321,2012-01-04,2012-01-04,,Flying Clean
4130200,12029673 12237429 12237550 12237608 12237659 12237706 12387956 12388001 12388037 12388072 12388101 15049209 15049326 15049415 15049905 15049749 15050040 15050103 15050339 15050634 15050749 15050859 15050939 15050998 15051070 15051128 15051253 15051310 15051412 15051497 15051590 15051715 15051862 15052035 15052284 15052353 15052395 15052467 15052688 15052776 15052860 15052944 15053064 29945856 30479712 30480066,2013-02-08,2014-04-13,ballerina ballet horse love magic murder mystery new-adult spell styles vet wattpadprize14 wicca wiccan witch witchcraft,Distraction
82044,878793 883827 890732 893856 897425 903379 906575 911704 914988 921136 930600 944786 958240 983460 989046 996125 1022037 1111189 1157969 1237337 1446694 1493345 1675669 1817772 1871714 1932051 2005598 2129167 2235250 2344346 2452461 2557819 2588197,2012-05-18,2014-03-03,anger archery arranged arrow attack battle bed beginning birth bow boy burn care caress castle cry curious daughter death die dream duty end epilogue family fantasy father fiction fight fire first fluff friend frustrated girl guard healer highlander historical house hug hurt husband keep kin king kingdom kiss knife knight lady letter lord love man map marriage marry medieval men mountain prologue promise queen raid raider relationship responsibility rest romance royal royalty sad safe safety salve save scared scourge sedative servant shoot sick sing sir skirmish slave sleep sleeping smile sneak sob son song spar spy steel stitches strong sun sword tactics talk tear tears threat threaten title torture training traitor travel treason tristan trust unsafe vassal victory village voice vulture war warning water watty weakness weapon wedding well whip whipping white wife worry wound,By Order of the King
